"filename", "language", "JavaScript", "JSON", "Ignore", "YAML", "Markdown", "JSON with Comments", "TypeScript JSX", "TypeScript", "Less", "HTML", "CSV", "XML", "Shell Script", "CSS", "Docker", "comment", "blank", "total"
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Assistant\constants.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Assistant\context.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Assistant\hooks\useController.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Assistant\index.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 8, 55
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Assistant\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Assistant\info.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Assistant\registerMeta.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 5, 139
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Assistant\utils\extractCodeBlocks.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 4, 4, 23
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Assistant\utils\message.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 7, 28
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Assistant\utils\prompt.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 3, 7, 50
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\CypherQuery\Component.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 10, 16, 165
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\CypherQuery\CyperEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 67
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\CypherQuery\CypherCodeMirror\codemirror-cypher-mode.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 24, 12, 189
"c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\CypherQuery\CypherCodeMirror\codemirror-cypher.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
